clientID,name,website,image,type,active
1,The Kathy Moore Situation,http://innocentwords.com/kathy-moore-tone-completely-her-own/,KathyMoore2.jpg,musician,TRUE
2,Jeff Busch,http://www.artno.com/bongo/,JeffBusch.jpg,musician,TRUE
3,Total Experience Gospel Choir,http://www.totalexperiencegospelchoir.org/,TotalExperience.jpg,musician,TRUE
4,Matt Jorgensen,http://www.mattjorgensen.com/,MattJorgensen.jpg,musician,TRUE
5,Big Neighborhood,http://originarts.com/recordings/recording.php?TitleID=82467,BigNeighborhood.jpg,musician,TRUE
6,Juke,http://www.jukesongs.com/,juke.jpg,musician,TRUE
7,May Palmer,http://www.maypalmer.com/,MayPalmer.jpg,musician,TRUE
8,Doug Miller,http://www.origin-records.com/artists/artist.php?Artist_ID=31,DougMiller.jpg,musician,TRUE
9,Cynthia Mullis,http://www.cynthiamullis.com/,CynthiaMullis.jpg,musician,TRUE
10,Heather Banker,http://heatherbblues.com/index.html,HeatherBanker.jpg,musician,TRUE
11,Motel 5,http://www.myspace.com/motel5,Motel5.jpg,musician,TRUE
12,Seattle Womens Jazz Orchestra,http://www.swojo.com/,Swojo.jpg,musician,TRUE
13,Katy Bourne,http://katy-bourne.com/,KatyBourne.jpg,musician,TRUE
14,Ryan Graves,http://www.cdbaby.com/Artist/RyanGraves1,RyanGraves.jpg,musician,TRUE
15,Thornton Creek,http://www.thorntoncreek.com/,ThorntonCreek.jpg,musician,TRUE
16,Professional Entertainment Consultants,http://www.pro-ent.com,ProfessionalEntertainmentConsultants.jpg,corporate,TRUE
17,Partners in Prime,http://www.partnersinprime.net,PartnersinPrime.jpg,corporate,TRUE
18,Thievery Productions,http://www.thieveryproductions.com/,ThieveryProductions.jpg,corporate,TRUE
19,GDL Multimedia,http://www.itbooks.net/book/Tappans-Burro/9781602451193/,GDLMultimedia.jpg,corporate,TRUE
20,Sebastion T     Sweet     Productions,http://www.sablejak.com/,SableJak.jpg,corporate,TRUE
21,Becker&Mayer!,http://beckermayer.com/,BeckerMeyer.jpg,corporate,TRUE
22,Loose Canon Studios,http://www.ign.com/companies/loose-cannon-studios,LooseCanonStudios.jpg,corporate,TRUE
23,The Midnight Mystery Radio Theatre,http://mmt.moonfruit.com/,MidnightMysteryTheatre.jpg,corporate,TRUE
24,Conexion Marketing,https://www.linkedin.com/company/conexi-n-marketing,ConexionMarketing.jpg,corporate,TRUE
25,LarkWire,http://larkwire.com/,Larkwire.jpg,corporate,TRUE
26,Mithun,http://mithun.com/,Mithun.jpg,corporate,TRUE
27,Ember Entertainment,http://www.ember-entertainment.com,EmberEntertainment.jpg,corporate,TRUE
28,Gun Media,http://www.fearthegun.com,GunMedia.jpg,corporate,TRUE
29,Little Films,http://www.littlefilms.net/,LittleFilms.jpg,corporate,TRUE
30,AT&T,http://www.att.com,ATT.jpg,corporate,TRUE
31,Mary Lou Williams Documentary,https://www.facebook.com/marylouwilliamsproject/timeline,MaryLouWilliams.jpg,corporate,TRUE
32,Patrick Barta Photography,http://www.bartaphoto.com/,PatrickBartaPhotography.jpg,corporate,TRUE
33,Tiffany Talent,http://tiffanytalent.com/,TiffanyTalent.jpg,corporate,TRUE
34,Plus Citizen,https://www.pluscitizen.com/,PlusCitizen.jpg,corporate,TRUE
35,David Albright Media,http://www.dalbright.com/,,corporate,TRUE
36,AllRecipies.com,http://allrecipes.com/,AllRecipes.jpg,corporate,TRUE
37,ADP,http://www.adp.com/,Adp.jpg,corporate,TRUE
38,The Off Hours Film,http://www.theoffhoursfilm.com/,TheOffHoursFilm.jpg,corporate,TRUE
39,Fairway Studios,http://www.fairwaystudios.com/,FairwayStudios.jpg,corporate,TRUE
40,Your Sisterâ€™s Sister,http://www.imdb.com/title/tt1742336/?ref_=nm_knf_i1,,corporate,TRUE
41,Frog Design,ttp://www.frogdesign.com/,Frog.jpg,corporate,TRUE
42,Media Locate,http://www.medialocate.com/,MediaLocate.jpg,corporate,TRUE
43,Enter The Studio,http://enterthestudio.com/,EnterTheStudio.jpg,corporate,TRUE
44,Lion Sky Productions,http://www.lionskyproductions.com/,LionSkyProductions.jpg,corporate,TRUE
45,North Shore Productions,http://www.northshorepro.com/,,corporate,TRUE
46,Northwest Regional Primary Care Association,http://www.nwrpca.org/,NWRPCA.jpg,corporate,TRUE
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,