manufacturer,model,type,subtype,subsubtype,quantity,images,description
Fostex,CR300,Hardware,Recorder,CDR 2 - track,1,,
Studer,D780,Hardware,Recorder,DAT 2 - track,1,,
Euphonix,MC Control,Hardware,Control Surface,,1,,
Neyrinck,V Control Pro,Software,Control Surface,,1,,
AVID,002 Rack,Hardware,Recorder,Audio Interface 18 - track,1,,Black Lion modified converters and preamps
AKG,414,Microphone,Condenser,Multipattern,1,,
AKG,C1000,Microphone,Condenser,Cardiod,2,,
AKG,C3000,Microphone,Condenser,Cardiod,2,,
AKG,C3000B,Microphone,Condenser,Cardiod,2,,
AKG,D112,Microphone,Dynamic,Cardiod,1,,
Audio Technica,ATM25,Microphone,Dynamic,Cardiod,1,,
Audio Technica,AT4033,Microphone,Condenser,Cardiod,1,,
Audix,D5,Microphone,Dynamic,Cardiod,1,,
Bruel&Kjaer,B&K 4011,Microphone,Condenser,Cardiod,2,,
Beyer Dynamic,M88 TG,Microphone,Dynamic,Cardiod,2,,
Beyer Dynamic,M160N(C),Microphone,Ribbon,Cardiod,1,,
Chameleon Labs,TS-2,Microphone,Condenser,Multipattern,1,,
Earthworks,TC40k,Microphone,Condenser,Omni,2,,
Electrovoice,EV ND 468,Microphone,Dynamic,Cardiod,1,,
Electrovoice,EV ND 358,Microphone,Dynamic,Cardiod,1,,
Electrovoice,EV RE20,Microphone,Dynamic,Cardiod,2,,
Josephson,C42,Microphone,Condenser,Cardiod,2,,
Neumann,TLM 103,Microphone,Condenser,Cardiod,1,,
Neumann,SM69 FET,Microphone,Condenser,Multipattern,1,,Stereo
Pacific Pro Audio,PPA R-2,Microphone,Ribbon,Cardiod,1,,
Rode,K2,Microphone,Condenser,Multipattern,1,,Tube
Royer,R121,Microphone,Ribbon,Cardiod,2,,
Royer,SF12,Microphone,Ribbon,Cardiod,1,,
Sennheiser,421,Microphone,Dynamic,Cardiod,1,,
Sennheiser,604,Microphone,Dynamic,Cardiod,3,,
Shiny Box Audio,46MXL,Microphone,Ribbon,Cardiod,1,,
Shure,SM57,Microphone,Dynamic,Cardiod,2,,
Sony,C48,Microphone,Condenser,Multipattern,2,,
Universal Audio,4-10,Hardware,Preamp,,1,,
Focusrite ,Red 3,Hardware,Compressor,,7,,2 channel compressor
Universal Audio,LA-610,Hardware,Preamp,,1,,single channel preamp with EQ and compression
Dolby Labs,DBX 166,Hardware,Compressor,,1,,2 channel compressor
Focusrite ,428,Hardware,Preamp,,1,,4 channel mic preamp
Focusrite,Red 1,Hardware,Preamp,,4,,4 channel mic preamp
Antares,Autotune EVO,Software,Plugin,Pitch Correction,,,
Celemony,Melodyne Editor,Software,Plugin,Pitch Correction,,,
EastWest,Symphonic Orchestra Platinum,Software,Plugin,Virtual Instrument,,,
EastWest,Symphonic Choirs Platinum,Software,Plugin,Virtual Instrument,,,
EastWest,Ra,Software,Plugin,Virtual Instrument,,,
EastWest,Goliath,Software,Plugin,Virtual Instrument,,,
EastWest,Voices of Passion,Software,Plugin,Virtual Instrument,,,
EastWest,Storm Drum,Software,Plugin,Virtual Instrument,,,
EastWest,Pianos Gold,Software,Plugin,Virtual Instrument,,,
Eventide,Ultrachannel,Software,Plugin,Channel Strip,,,
GRM,Bandpass,Software,Plugin,Filter,,,
GRM,Comb Filter,Software,Plugin,Filter,,,
GRM,Contrast,Software,Plugin,,,,
GRM,Delays,Software,Plugin,Delay,,,
GRM,Doppler,Software,Plugin,Modulation,,,
GRM,Equalize,Software,Plugin,EQ,,,
GRM,Evolution,Software,Plugin,,,,
GRM,Freeze,Software,Plugin,,,,
GRM,Fusion,Software,Plugin,,,,
GRM,Grinder,Software,Plugin,,,,
GRM,Pitch Accumulator,Software,Plugin,,,,
GRM,Reson,Software,Plugin,,,,
GRM,Shift,Software,Plugin,,,,
GRM,Shuffling,Software,Plugin,,,,
GRM,Warp,Software,Plugin,,,,
Native Instruments,Kontackt 4,Software,Plugin,Virtual Instrument,,,
Native Instruments,Reaktor 5,Software,Plugin,Virtual Instrument,,,
Native Instruments,Absynth 5,Software,Plugin,Virtual Instrument,,,
Native Instruments,Massive,Software,Plugin,Virtual Instrument,,,
Native Instruments,Traktor,Software,Plugin,Virtual Instrument,,,
Native Instruments,FM8,Software,Plugin,Virtual Instrument,,,
Native Instruments,Guitar Rig 3,Software,Plugin,Virtual Instrument,,,
Native Instruments,Battery 3,Software,Plugin,Virtual Instrument,,,
SoundToys,Little Radiator,Software,Plugin,Harmonic,,,
SoundToys,Radiator,Software,Plugin,Harmonic,,,
SoundToys,Little Microshift,Software,Plugin,,,,
Trillium Labs,TL Space,Software,Plugin,Reverb,,,
Universal Audio,CS-1,Software,Plugin,Channel Strip,,,
Universal Audio,EL7 Fatso,Software,Plugin,Compressor,,,
Universal Audio,EMT 140,Software,Plugin,Reverb,,,
Universal Audio,Fairchild,Software,Plugin,Compressor,,,
Universal Audio,Lexicon 224,Software,Plugin,Reverb,,,
Universal Audio,Neve 88RS,Software,Plugin,Channel Strip,,,
Universal Audio,Ocean Way Studios,Software,Plugin,Reverb,,,
Universal Audio,Pultec EQP-1A,Software,Plugin,EQ,,,
Universal Audio,Pultec Pro,Software,Plugin,EQ,,,
Universal Audio,RealVerb Pro,Software,Plugin,Reverb,,,
Universal Audio,Studer A800,Software,Plugin,Tape Simulator,,,
Universal Audio,Teletronix LA-2A,Software,Plugin,Compressor,,,
Universal Audio,UA 1176 LN,Software,Plugin,Compressor,,,
WaveMachine Labs,Drumagog 5,Software,Plugin,Drum Replacer,,,
Waves,Aphex Aural Exciter,Software,Plugin,,,,
Waves,API-550,Software,Plugin,EQ,,,
Waves,API-560,Software,Plugin,EQ,,,
Waves,API-2500,Software,Plugin,EQ,,,
Waves,AudioTrack,Software,Plugin,Channel Strip,,,
Waves,BassRider,Software,Plugin,Volume Automation,,,
Waves,C1,Software,Plugin,Compressor,,,
Waves,C4,Software,Plugin,Multiband Compressor,,,
Waves,C6,Software,Plugin,Multiband Compressor,,,
Waves,C360,Software,Plugin,Multiband Compressor,,,Surround Compression
Waves,Center,Software,Plugin,Stereo Field,,,
Waves,CLA Bass,Software,Plugin,,,,
Waves,CLA Drums,Software,Plugin,,,,
Waves,CLA Effects,Software,Plugin,,,,
Waves,CLA Guitars,Software,Plugin,,,,
Waves,CLA Unplugged,Software,Plugin,,,,
Waves,CLA Vocals,Software,Plugin,,,,
Waves,CLA-2A,Software,Plugin,Compressor,,,
Waves,CLA-3A,Software,Plugin,Compressor,,,
Waves,CLA-76,Software,Plugin,Compressor,,,
Waves,DeBreath,Software,Plugin,,,,
Waves,DeEsser,Software,Plugin,,,,
Waves,Doppler,Software,Plugin,,,,
Waves,Durrough Surround,Software,Plugin,,,,
Waves,Doubler,Software,Plugin,,,,
Waves,EddieKramer Bass,Software,Plugin,,,,
Waves,EddieKramer Drums,Software,Plugin,,,,
Waves,EddieKramer Effects,Software,Plugin,,,,
Waves,EddieKramer Guitar,Software,Plugin,,,,
Waves,EddieKramer Vocals,Software,Plugin,,,,
Waves,Enigma,Software,Plugin,,,,
Waves,GTR Amp,Software,Plugin,,,,
Waves,GTR Stomp,Software,Plugin,,,,
Waves,GTR ToolRack,Software,Plugin,,,,
Waves,GTR Tuner,Software,Plugin,,,,
Waves,H-Comp,Software,Plugin,Compressor,,,
Waves,H-EQ,Software,Plugin,EQ,,,
Waves,IDR,Software,Plugin,,,,
Waves,InPhase,Software,Plugin,,,,
Waves,IR-1,Software,Plugin,Reverb,,,
Waves,IR-360,Software,Plugin,Reverb,,,
Waves,IR-L,Software,Plugin,Reverb,,,
Waves,JJP-Bass,Software,Plugin,,,,
Waves,JJP-Cymb-Perc,Software,Plugin,,,,
Waves,JJP-Drums,Software,Plugin,,,,
Waves,JJP-Guitars,Software,Plugin,,,,
Waves,JJP-Strings,Software,Plugin,,,,
Waves,JJP-Vocals,Software,Plugin,,,,
Waves,Kramer HLS,Software,Plugin,EQ,,,
Waves,Kramer PIE,Software,Plugin,Compressor,,,
Waves,Kramer Tape,Software,Plugin,Tape Simulator,,,
Waves,L1,Software,Plugin,Limiter,,,
Waves,L2,Software,Plugin,Limiter,,,
Waves,L3 Multi,Software,Plugin,Multiband Limiter,,,
Waves,L3 Ultra,Software,Plugin,Limiter,,,
Waves,L3-16 Filterbanks,Software,Plugin,,,,
Waves,L3-16,Software,Plugin,,,,
Waves,L3-LL Multi,Software,Plugin,,,,
Waves,L3-LL Ultra,Software,Plugin,,,,
Waves,L360,Software,Plugin,Limiter,,,Surround Limiter
Waves,LinEQ,Software,Plugin,EQ,,,
Waves,LinMB,Software,Plugin,Multiband Compressor,,,
Waves,LoAir,Software,Plugin,,,,
Waves,Maserati ACG,Software,Plugin,,,,
Waves,Maserati B72,Software,Plugin,,,,
Waves,Maserati DRM,Software,Plugin,,,,
Waves,Maserati GRP,Software,Plugin,,,,
Waves,Maserati GTi,Software,Plugin,,,,
Waves,Maserati HMX,Software,Plugin,,,,
Waves,Maserati VX1,Software,Plugin,,,,
Waves,MaxxBass,Software,Plugin,,,,
Waves,MaxxVolume,Software,Plugin,,,,
Waves,MetaFlanger,Software,Plugin,,,,
Waves,MondoMod,Software,Plugin,,,,
Waves,Morphoder,Software,Plugin,,,,
Waves,MV2,Software,Plugin,,,,
Waves,MV360,Software,Plugin,,,,
Waves,One Knob Brighter,Software,Plugin,,,,
Waves,One Knob Driver,Software,Plugin,,,,
Waves,One Knob Filter,Software,Plugin,,,,
Waves,One Knob Louder,Software,Plugin,,,,
Waves,One Knob Phatter,Software,Plugin,,,,
Waves,One Knob Pressure,Software,Plugin,,,,
Waves,One Knob Wetter,Software,Plugin,,,,
Waves,PAZ,Software,Plugin,,,,
Waves,PS 22,Software,Plugin,,,,
Waves,PuigChild,Software,Plugin,,,,
Waves,PuigTec,Software,Plugin,,,,
Waves,Q-Clone,Software,Plugin,EQ,,,
Waves,Q10,Software,Plugin,EQ,,,
Waves,R360,Software,Plugin,,,,
Waves,RBass,Software,Plugin,,,,
Waves,RChannel,Software,Plugin,Channel Strip,,,
Waves,RComp,Software,Plugin,Compressor,,,
Waves,RDeEsser,Software,Plugin,DeEsser,,,
Waves,RenAxx,Software,Plugin,,,,
Waves,REQ,Software,Plugin,EQ,,,
Waves,RVerb,Software,Plugin,Reverb,,,
Waves,RVox,Software,Plugin,Compressor,,,
Waves,S1,Software,Plugin,,,,
Waves,S360,Software,Plugin,,,,
Waves,SoundShifter,Software,Plugin,,,,
Waves,SSL Channel,Software,Plugin,Channel Strip,,,
Waves,SSL Comp,Software,Plugin,Compressor,,,
Waves,SSL EQ,Software,Plugin,EQ,,,
Waves,SuperTap,Software,Plugin,Delay,,,
Waves,TransX,Software,Plugin,,,,
Waves,TrueVerb,Software,Plugin,Reverb,,,
Waves,UltraPitch,Software,Plugin,,,,
Waves,UM,Software,Plugin,,,,
Waves,VComp,Software,Plugin,Compressor,,,
Waves,VEQ3,Software,Plugin,EQ,,,
Waves,VEQ4,Software,Plugin,EQ,,,
Waves,Vocal Rider,Software,Plugin,Volume Automation,,,
Waves,W43,Software,Plugin,,,,
Waves,Waves Tune,Software,Plugin,Pitch Correction,,,
Waves,WLM,Software,Plugin,,,,
Waves,WNS,Software,Plugin,,,,
Waves,X-Click,Software,Plugin,,,,
Waves,X-Crackle,Software,Plugin,,,,
Waves,X-Hum,Software,Plugin,,,,
Waves,X-Noise,Software,Plugin,,,,
Waves,Z-Noise,Software,Plugin,,,,
ADAM,A3x,Monitor,Speaker,Surround,5,,
ADAM,Sub 12,Monitor,Speaker,Subwoofer,1,,
Aviom,A-16ii,Monitor,Headphone Mixer,,5,,
Genelec ,HT205,Monitor,Speaker,Stereo,2,,
Genelec ,1031,Monitor,Speaker,Stereo,2,,
Event,PS6,Monitor,Speaker,Stereo,2,,
Audio Technica,ATH-D40fs,Monitor,Headphone,,2,,
Audio Technica,ATH-M40fs,Monitor,Headphone,,2,,
Sony,MDR-7506,Monitor,Headphone,,2,,